Data,"Aquisição de usuários (Novos usuários, Todos os eventos, Por intervalo, Diária): Brasil","Público de instalação (Todos os usuários, Usuários únicos, Por intervalo, Diária): Brasil",Observações
14/07/2021,6,1.733,
15/07/2021,10,1.730,
16/07/2021,6,1.734,
17/07/2021,3,1.713,
18/07/2021,4,1.730,
19/07/2021,6,1.733,
20/07/2021,7,1.746,
21/07/2021,6,1.753,
22/07/2021,6,1.743,
23/07/2021,2,1.744,
24/07/2021,5,1.759,
25/07/2021,3,1.743,
26/07/2021,2,1.740,
27/07/2021,7,1.768,
28/07/2021,3,1.740,
29/07/2021,6,1.740,
30/07/2021,7,1.744,
31/07/2021,7,1.753,
01/08/2021,4,1.750,
02/08/2021,9,1.760,
03/08/2021,7,1.753,
04/08/2021,6,1.756,
05/08/2021,9,1.758,
06/08/2021,2,1.761,
07/08/2021,5,1.754,
08/08/2021,1,1.737,
09/08/2021,2,1.727,
10/08/2021,8,1.746,
11/08/2021,4,1.764,
12/08/2021,1,1.737,
13/08/2021,2,1.744,
14/08/2021,3,1.737,
15/08/2021,1,1.722,
16/08/2021,7,1.749,
17/08/2021,4,1.742,
18/08/2021,2,1.729,
19/08/2021,4,-,
